predictor,response
0.4271,1.7364
2.5627,0.5574
0.8032,2.4818
1.3,2.1759
2.8544,-0.2718
2.4272,0.3758
0.7978,2.2979
1.888,3.0596
1.9709,1.6186
1.8572,2.533
0.1304,1.0801
2.8637,-1.1804
0.174,0.8454
2.9114,1.4984
2.0532,1.8525
2.4572,1.703
2.2683,2.7774
2.0466,2.6998
1.185,2.2102
0.243,1.1846
1.8597,1.2485
2.1418,2.0401
2.9822,0.8749
2.16,2.4056
0.4668,1.9712
1.1057,1.3713
0.542,2.1877
0.6762,1.3926
1.5991,1.5146
0.1923,0.5535
2.5669,2.6969
2.3316,1.694
1.4565,3.9376
1.8658,1.2887
1.7757,-12.2178
1.6631,3.3715
0.4788,1.9415
2.758,1.7125
0.3258,0.3006
2.7872,-0.4396
1.8961,2.2159
2.0013,2.1119
0.1345,0.3937
1.0015,-10.8224
2.6553,1.4964
2.2698,1.1834
0.7219,1.7747
0.4139,0.7034
2.9989,-0.3051
1.9546,2.7613
0.1457,1.0299
1.3359,2.3401
1.5744,-8.5343
2.4647,1.7803
0.4824,1.5521
1.7568,2.501
0.0559,0.6336
0.1497,0.2551
2.441,3.0587
1.4208,3.5073
0.5959,1.1747
0.9454,2.1274
2.9246,2.3149
1.8775,2.6616
0.2077,0.0072
2.7816,0.4383
0.7841,1.583
2.6007,0.5699
0.2132,1.1844
1.9118,2.1984
2.3915,2.2775
1.4037,2.3154
1.47,2.4408
2.3469,1.6263
0.617,2.2883
0.1912,-0.1557
1.3106,3.021
0.7642,1.6991
1.3578,2.0278
2.4684,-0.5706
0.895,1.9992
2.4821,-0.5327
0.8255,1.1378
0.5278,0.8861
0.0525,-0.0361
2.5171,0.7411
0.4227,0.1923
2.956,2.2366
0.7546,1.9669
2.2073,-9.8824
1.1426,2.1788
1.4996,3.7759
2.8471,1.7358
1.7643,1.7428
1.5122,2.5148
2.2514,14.2061
2.1631,0.6746
1.637,2.6564
0.3232,14.7857
0.6258,1.7288
1.7502,3.1389
0.8016,1.8714
2.1817,1.3632
0.7246,1.23
1.0539,1.7537
2.8765,-1.0161
2.753,1.2747
0.2473,0.4862
2.4769,0.1267
1.5882,11.4317
0.3552,-0.2355
1.6477,2.8063
2.585,1.4748
0.7231,3.0589
0.5248,1.8219
2.7976,2.287
0.7849,1.5411
2.858,0.7696
1.2567,2.536
0.6284,1.5812
1.8074,2.3303
0.9626,2.2154
2.962,-0.3374
0.0141,0.5106
1.8923,3.2243
3.4553,-0.1077
4.3669,-2.1742
4.5759,-0.8757
3.9307,-0.2379
3.4459,8.9262
4.6229,-0.2006
3.5787,0.9461
4.6848,-0.074
3.5735,-0.898
4.5578,-1.5168
3.3472,-0.81
3.2948,-1.4334
3.5761,1.1927
4.3895,-0.3512
3.6835,-0.7865
3.404,-0.8116
4.6321,0.0751
3.6746,-0.0584
3.5414,-1.9006
4.844,-0.3493
3.2724,-0.0242
4.9306,0.6113
3.3313,-0.7352
3.8908,-0.6463
3.2673,-2.6576
3.6582,-1.2959
4.6609,0.9347
4.9498,1.0054
4.7978,11.5977
3.4343,0.4261
4.1065,-1.2463
3.866,-1.597
4.7533,0.1018
3.2649,-1.7308
4.5295,-11.6043
4.0668,-1.2673
3.3091,0.8013
3.0867,-0.6896
4.362,-0.4195
4.9416,-0.183
3.6089,-0.4508
3.9454,-0.5436
4.8573,1.3186
4.4688,-0.2287
3.3471,0.6857
3.6204,-1.0548
3.7085,-0.0188
3.6354,-1.0908
3.3576,-0.4282
4.9811,1.0034
4.566,1.3083
3.9698,1.1479
3.9752,0.1313
4.7564,-0.0672
3.0685,-0.5094
4.0202,-2.2986
3.9749,-1.1409
4.6355,0.1909
4.1652,-0.0124
3.6905,-1.4067
